Sch Dep Dt,Rez Class,Total Ss Count,Seg Dep Port,Seg Arr Port,Annee,Mois,Jour
2023-04-01,B,4,GAQ,BKO,2023,4,1
2023-04-01,C,1,GAQ,BKO,2023,4,1
2023-04-01,D,4,GAQ,BKO,2023,4,1
2023-04-01,D,2,BKO,GAQ,2023,4,1
2023-04-01,L,47,GAQ,BKO,2023,4,1
2023-04-01,L,14,BKO,GAQ,2023,4,1
2023-04-01,M,15,GAQ,BKO,2023,4,1
2023-04-01,M,1,BKO,GAQ,2023,4,1
2023-04-01,V,55,GAQ,BKO,2023,4,1
2023-04-01,V,61,BKO,GAQ,2023,4,1
2023-04-01,Y,0,BKO,GAQ,2023,4,1
2023-04-02,D,2,KYS,BKO,2023,4,2
2023-04-02,L,38,KYS,BKO,2023,4,2
2023-04-02,L,24,BKO,KYS,2023,4,2
2023-04-02,M,0,BKO,KYS,2023,4,2
2023-04-02,N,3,KYS,BKO,2023,4,2
2023-04-02,N,1,BKO,KYS,2023,4,2
2023-04-02,V,37,KYS,BKO,2023,4,2
2023-04-02,V,42,BKO,KYS,2023,4,2
2023-04-02,Y,0,KYS,BKO,2023,4,2
2023-04-02,Y,1,BKO,KYS,2023,4,2
2023-04-04,V,0,GAQ,BKO,2023,4,4
2023-04-04,V,0,BKO,GAQ,2023,4,4
2023-04-05,D,0,KYS,BKO,2023,4,5
2023-04-05,L,0,KYS,BKO,2023,4,5
2023-04-05,L,0,TOM,BKO,2023,4,5
2023-04-05,L,0,BKO,KYS,2023,4,5
2023-04-05,L,0,BKO,TOM,2023,4,5
2023-04-05,V,0,KYS,BKO,2023,4,5
2023-04-05,V,0,TOM,BKO,2023,4,5
2023-04-05,V,0,BKO,TOM,2023,4,5
2023-04-05,,0,BKO,TOM,2023,4,5
2023-04-07,C,0,TOM,BKO,2023,4,7
2023-04-07,C,0,BKO,TOM,2023,4,7
2023-04-07,L,11,TOM,BKO,2023,4,7
2023-04-07,L,9,BKO,TOM,2023,4,7
2023-04-07,M,3,TOM,BKO,2023,4,7
2023-04-07,M,0,BKO,TOM,2023,4,7
2023-04-07,N,0,BKO,TOM,2023,4,7
2023-04-07,V,34,TOM,BKO,2023,4,7
2023-04-07,V,23,BKO,TOM,2023,4,7
2023-04-08,D,0,GAQ,BKO,2023,4,8
2023-04-08,D,2,BKO,GAQ,2023,4,8
2023-04-08,L,34,GAQ,BKO,2023,4,8
2023-04-08,L,33,BKO,GAQ,2023,4,8
2023-04-08,M,11,GAQ,BKO,2023,4,8
2023-04-08,M,0,BKO,GAQ,2023,4,8
2023-04-08,N,1,GAQ,BKO,2023,4,8
2023-04-08,N,4,BKO,GAQ,2023,4,8
2023-04-08,V,61,GAQ,BKO,2023,4,8
2023-04-08,V,64,BKO,GAQ,2023,4,8
2023-04-08,Y,1,GAQ,BKO,2023,4,8
2023-04-09,D,2,KYS,BKO,2023,4,9
2023-04-09,D,2,BKO,KYS,2023,4,9
2023-04-09,L,33,KYS,BKO,2023,4,9
2023-04-09,L,25,BKO,KYS,2023,4,9
2023-04-09,M,0,BKO,KYS,2023,4,9
2023-04-09,N,1,KYS,BKO,2023,4,9
